id,created_at,text
795440477667467265,2016-11-07 01:39:23,b'Election Day is nearly here! Find your polling place and everything you need to vote on Tuesday:\xe2\x80\xa6 https://t.co/5tZhGhsmhk'
795389353220538369,2016-11-06 22:16:14,b'Can you step up to knock on doors or make calls? We need your help electing Democrats at all levels:\xe2\x80\xa6 https://t.co/M8TNuYZIJS'
795065250722803712,2016-11-06 00:48:22,"b'""Give the people a chance. Ordinary people can do extraordinary things. I\'m counting on you to do extraordinary thi\xe2\x80\xa6 https://t.co/Wr03jSMfda'"
794595765201072128,2016-11-04 17:42:47,"b'""We will own the finish line in the 21st century. God love you, go out and vote, vote, vote!"" \xe2\x80\x94VP Biden \nhttps://t.co/kApFiopxid\n#votebluewi'"
794594461267398656,2016-11-04 17:37:37,"b'""My word as a Biden \xe2\x80\x94 I\'ve never been more optimistic about the prospects of the United States than I am this very day."" \xe2\x80\x94VP Biden'"
794590707319185411,2016-11-04 17:22:42,"b'RT @HillaryforWI: ""@HillaryClinton and @russfeingold know how to grow the economy and increase access to work."" -@JoeBiden https://t.co/kAv\xe2\x80\xa6'"
794590284206243840,2016-11-04 17:21:01,"b'""I don\xe2\x80\x99t know anybody, in the neighborhoods I grew up in, who could go 3 months without a paycheck."" \xe2\x80\x94VP \n\nDemocrats believe in paid leave.'"
794588540113977345,2016-11-04 17:14:05,"b'""When we took office, the unemployment rate was above 10%. It\'s now below 5%."" \xe2\x80\x94VP Biden #Progress #votebluewi'"
794587423858630656,2016-11-04 17:09:39,"b'""These guys\xe2\x80\xa6 seem to be carbon copies of each other."" \xe2\x80\x94VP Biden on Ron Johnson and Donald Trump. #votebluewi'"
794587092353503232,2016-11-04 17:08:20,"b'""This man is totally, thoroughly... unprepared and unqualified to be the Commander-in-Chief of the United States of America."" \xe2\x80\x94VP on Trump'"
794585964467326976,2016-11-04 17:03:51,"b'\xe2\x80\x9cThis guy not only doesn\xe2\x80\x99t want to raise the minimum wage, he doesn\xe2\x80\x99t think there should be a federal minimum wage.\xe2\x80\x9d \xe2\x80\x94VP on Sen. Ron Johnson'"
794585100059111424,2016-11-04 17:00:25,b'\xe2\x80\x9cJohnson says the jury is still out on climate change\xe2\x80\xa6 talk about being out of it.\xe2\x80\x9d \xe2\x80\x94VP campaigning with @russfeingold #votebluewi'
794313186547814400,2016-11-03 22:59:55,b'We are just getting started. Our best days are ahead of us. Do your part. Vote. And bring a friend. \xe2\x80\x94Joe\xe2\x80\xa6 https://t.co/sJFgHmu00Q'
794312834360479744,2016-11-03 22:58:31,"b'We\xe2\x80\x99ve got a lot of good Senate candidates to vote for. People committed to doing the hard work, who will never stop\xe2\x80\xa6 https://t.co/tNXBE9K7kx'"
794312608262344709,2016-11-03 22:57:38,b'We have to elect @HillaryClinton in 5 days. But she has got to have a Congress to work with. Vote down the line.'
794312480260575243,2016-11-03 22:57:07,"b'I won my first election to the Senate by a little over 3,000 votes. I\xe2\x80\x99m deadly serious when I say showing up matter\xe2\x80\xa6 https://t.co/V3GEHYVoKE'"
793626499144376320,2016-11-02 01:31:16,"b""Take it from the Vice President, you've got to make a plan to vote. https://t.co/Q1hvj18XY3 https://t.co/pVVTcI3Vm0"""
790957783030067201,2016-10-25 16:46:45,"b'""Folks, there\'s only 14 days left until Election Day....go vote!"" -VP Biden\nhttps://t.co/Hy8C4mIL2M'"
790957652037738497,2016-10-25 16:46:14,"b'""Americans never bow. Americans never bend. We never break. We endure, we overcome, and we continually move forward."" -VP Biden'"
790953933724319744,2016-10-25 16:31:27,"b'""Republicans talk about productivity. They haven\'t produced anything that generates economic growth so far. Not a joke."" -VP at @ChathamU'"
790951711246516224,2016-10-25 16:22:37,"b'""@KatieMcGintyPA knows who built the middle class, and you should if you don\xe2\x80\x99t: L-A-B-O-R. Organized labor built the middle class."" -VP'"
790951172957958144,2016-10-25 16:20:29,"b'""You can tell a lot about a candidate...by looking at the people who oppose her."" -VP Biden supporting @KatieMcGintyPA'"
790949593219469312,2016-10-25 16:14:12,"b'""[Trump] is thoroughly unqualified based on his conduct, his abuse of power, and his lack of substantive knowledge."" -VP Biden at @ChathamU'"
790949024207634432,2016-10-25 16:11:57,"b'""Can you imagine any president getting up at 3:30 in the morning and tweeting vitriol... What does that say about who we are?"" -VP Biden'"
789562366954500096,2016-10-21 20:21:52,b'Being a Democrat has always meant buckling down and getting it done for working people. https://t.co/8u0HwVyrlc'
789553872150953984,2016-10-21 19:48:06,b'\xe2\x80\x9cNo one can compete with us\xe2\x80\xa6 America never bows\xe2\x80\xa6 We will own the finish line.\xe2\x80\x9d \xe2\x80\x93VP Biden in Pennsylvania  \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'
789163100196843520,2016-10-20 17:55:19,b'\xe2\x80\x9cOur system is built on the notion of consensus. @Maggie_Hassan knows how to do that without yielding on principle.\xe2\x80\x9d \xe2\x80\x93VP Biden #NHTogether'
789162438071492608,2016-10-20 17:52:41,"b'\xe2\x80\x9cIt\xe2\x80\x99s really, really important that we elect @Maggie_Hassan.\xe2\x80\x9d \xe2\x80\x93VP Biden\n\nhttps://t.co/kApFio7VTD'"
788486790395092992,2016-10-18 21:07:54,b'Be one of the millions of Americans who vote before Election Day. Head to https://t.co/tu6W6eS9xR for more informat\xe2\x80\xa6 https://t.co/XDy8aWR9Q8'
786961019155386368,2016-10-14 16:05:02,"b'When your advisers call folks who can\'t afford nannies ""the little people,"" it\'s clear you don\'t understand America. https://t.co/CgxS5qyxDH'"
786690521595015168,2016-10-13 22:10:11,b'Let\xe2\x80\x99s give Hillary a Senate she can work with. https://t.co/tk0KI3cGeE'
786661716356653056,2016-10-13 20:15:43,"b'""Please, please, please, up until the polls close, do everything you can.\xe2\x80\x9d \xe2\x80\x93VP Biden\n\nhttps://t.co/I7XFm9x7z2'"
786660154674675712,2016-10-13 20:09:30,b'\xe2\x80\x9cShe will not back down. She will fight like hell for all of those things that affect people\xe2\x80\x99s lives.\xe2\x80\x9d \xe2\x80\x93VP Biden supporting @CatherineForNV'
786659702469984258,2016-10-13 20:07:43,b'\xe2\x80\x9cWealthy people are good people\xe2\x80\xa6 But one thing they don\xe2\x80\x99t need is more tax breaks.\xe2\x80\x9d \xe2\x80\x93VP Biden'
786656815417266176,2016-10-13 19:56:14,b'\xe2\x80\x9cHillary is going to need a Democratic Senate.\xe2\x80\x9d \xe2\x80\x93VP Biden campaigning with @CatherineForNV'
784851147513270272,2016-10-08 20:21:10,b'The words are demeaning. Such behavior is an abuse of power. It\xe2\x80\x99s not lewd. It\xe2\x80\x99s sexual assault. \xe2\x80\x93Joe'
783467490684833793,2016-10-05 00:43:00,"b""One thing's clear: @TimKaine and Hillary have hardworking Americans' backs. The VP's office is in good hands. \xe2\x80\x93Joe #VPDebate"""
783072947720351744,2016-10-03 22:35:14,"b'Listen to Vice President Biden \xe2\x80\x94 go to https://t.co/Hy8C4mIL2M, register to vote, and make your voice count for\xe2\x80\xa6 https://t.co/bNnaIpAjYo'"
780825490244399111,2016-09-27 17:44:38,"b""VP Biden is back in Philadelphia and taking over @TheDemocrats' Instagram from the campaign trail. Follow along:\xe2\x80\xa6 https://t.co/1vYRBAd5p9"""
780804225664188417,2016-09-27 16:20:08,b'Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered\xe2\x80\xa6 https://t.co/9ovdecqadN'
780633271474335744,2016-09-27 05:00:50,"b'Tonight, @HillaryClinton proved she is ready to be President \xe2\x80\x94 and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc'"
780145468777066497,2016-09-25 20:42:28,b'Take it from those who have been there - Trump is not ready for the responsibility of being president: https://t.co/MCmcwcOwju'
